cadena_configuracion,accuracy_train,error_train,precision_train,recall_train,f1_score_train,accuracy_val,error_val,precision_val,recall_val,f1_score_val
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0_max_iter=200,0.3304042179261863,0.6695957820738137,0.2896039603960396,0.5545023696682464,0.38048780487804873,0.34507042253521125,0.6549295774647887,0.32038834951456313,0.5892857142857143,0.4150943396226416
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0_max_iter=500,0.6291739894551845,0.37082601054481545,0.0,0.0,nan,0.6056338028169014,0.3943661971830986,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.0001_max_iter=200,0.6133567662565905,0.3866432337434095,0.09090909090909091,0.004739336492890996,0.00900900900900901,0.5774647887323944,0.4225352112676056,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.0001_max_iter=500,0.6678383128295254,0.33216168717047456,0.775,0.14691943127962084,0.24701195219123506,0.6197183098591549,0.3802816901408451,0.6666666666666666,0.07142857142857142,0.12903225806451613
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.1_max_iter=200,0.6203866432337434,0.3796133567662566,0.14285714285714285,0.004739336492890996,0.009174311926605505,0.5845070422535211,0.4154929577464789,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.1_max_iter=500,0.789103690685413,0.21089630931458703,0.7382198952879581,0.6682464454976303,0.7014925373134329,0.7887323943661971,0.21126760563380287,0.7407407407407407,0.7142857142857143,0.7272727272727273
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.2_max_iter=200,0.6010544815465729,0.3989455184534271,0.19230769230769232,0.023696682464454975,0.04219409282700422,0.5633802816901409,0.43661971830985913,0.125,0.017857142857142856,0.03125
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.2_max_iter=500,0.6291739894551845,0.37082601054481545,0.0,0.0,nan,0.6056338028169014,0.3943661971830986,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.3_max_iter=200,0.6291739894551845,0.37082601054481545,0.0,0.0,nan,0.6056338028169014,0.3943661971830986,0.0,0.0,nan
S1_NNet_var1_var2_var3_var4_var5_var6_var7_var8_var9_var10_var11_hidden_layer_sizes=1_activation=identity_solver=lbfgs_alpha=0.3_max_iter=500,0.6221441124780316,0.3778558875219684,0.0,0.0,nan,0.5985915492957746,0.4014084507042254,0.0,0.0,nan
